date,close
2016/02/29,4588.13
2016/02/29,2417.39
2016/02/28,2737.79
2016/02/28,2159.50
2016/02/28,1000.18
2016/02/27,4121.33
2016/02/27,2536.99
2016/02/27,2312.70
2016/02/26,3033.74
2016/02/26,1809.79
2016/02/25,2707.91
2016/02/25,1224.89
2016/02/24,642.02
2016/02/24,4642.08
2016/02/24,3517.83
2016/02/23,4131.70
2016/02/23,2580.44
2016/02/23,124.51
2016/02/22,4980.22
2016/02/22,2076.44
2016/02/20,403.51
2016/02/20,2926.71
2016/02/19,445.48
2016/02/19,2716.72
2016/02/19,2379.68
2016/02/18,1906.03
2016/02/17,4745.93
2016/02/17,4105.07
2016/02/17,3843.99
2016/02/17,1727.03
2016/02/15,3986.10
2016/02/14,2965.02
2016/02/12,3240.61
2016/02/10,3094.40
2016/02/10,1378.63
2016/02/09,345.08
2016/02/09,1405.96
2016/02/09,1302.76
2016/02/08,953.99
2016/02/08,4230.06
2016/02/08,3068.10
2016/02/07,2827.55
2016/02/06,831.20
2016/02/05,303.84
2016/02/05,2792.72
2016/02/04,532.66
2016/02/04,3051.25
2016/02/04,3037.87
2016/02/03,3883.65
2016/02/03,3439.98
2016/02/03,3105.91
2016/02/03,283.50
2016/02/03,2103.02
2016/02/02,3800.44
2016/02/01,99.82
2016/02/01,70.47
2016/02/01,2995.04
2016/01/31,3289.83
2016/01/31,2724.35
2016/01/30,2592.22
2016/01/29,3760.60
2016/01/28,3270.20
2016/01/27,4472.95
2016/01/27,3641.72
2016/01/25,4134.34
2016/01/25,4039.98
2016/01/24,4934.10
2016/01/23,694.65
2016/01/23,4008.00
2016/01/23,221.82
2016/01/20,4541.46
2016/01/20,2801.05
2016/01/19,1376.93
2016/01/18,4303.07
2016/01/18,3857.39
2016/01/18,3133.20
2016/01/17,3798.39
2016/01/17,1343.47
2016/01/16,4576.56
2016/01/16,3682.93
2016/01/16,1269.85
2016/01/15,3463.96
2016/01/15,345.07
2016/01/15,1655.46
2016/01/13,3595.28
2016/01/12,3902.38
2016/01/12,2193.54
2016/01/11,4197.49
2016/01/11,2624.48
2016/01/10,4136.06
2016/01/10,3300.36
2016/01/10,2905.69
2016/01/10,2284.99
2016/01/09,3852.13
2016/01/08,536.03
2016/01/08,4764.98
2016/01/08,4350.32
2016/01/07,2816.79
2016/01/07,1501.06
2016/01/06,384.50
2016/01/03,1730.10
2016/01/03,1562.55
2016/01/02,4056.39
2016/01/02,1995.74
2016/01/02,1615.89
2016/01/01,3336.38
2016/01/01,3263.77
2016/01/01,3034.71
2016/01/01,1471.27
2015/12/29,3367.69
2015/12/27,2947.35
2015/12/27,2906.73
2015/12/27,1432.93
2015/12/25,4115.29
2015/12/25,3069.66
2015/12/24,693.47
2015/12/24,4503.61
2015/12/24,4107.04
2015/12/23,4968.89
2015/12/22,4764.48
2015/12/22,2506.33
2015/12/20,4297.04
2015/12/19,953.41
2015/12/19,4343.46
2015/12/18,1407.50
2015/12/17,54.75
2015/12/17,3085.39
2015/12/17,1213.39
2015/12/16,3363.42
2015/12/15,1421.12
2015/12/14,482.71
2015/12/14,3377.22
2015/12/13,4289.78
2015/12/13,2325.85
2015/12/11,4418.49
2015/12/11,3531.85
2015/12/11,3091.69
2015/12/11,2033.02
2015/12/11,1997.89
2015/12/10,3303.54
2015/12/09,3643.22
2015/12/08,4130.14
2015/12/08,1738.74
2015/12/07,1734.81
2015/12/06,620.69
2015/12/05,1664.60
2015/12/05,1114.87
2015/12/04,888.29
2015/12/04,1547.39
2015/12/03,619.11
2015/12/03,2641.41
2015/12/02,4933.15
2015/12/01,1580.52
2015/11/30,4695.60
2015/11/30,4043.53
2015/11/30,1122.50
2015/11/29,97.69
2015/11/29,4017.22
2015/11/27,2805.34
2015/11/27,2676.26
2015/11/26,4857.82
2015/11/26,3016.01
2015/11/26,1728.88
2015/11/25,825.03
2015/11/25,2177.98
2015/11/25,1337.19
2015/11/24,4691.15
2015/11/24,4621.42
2015/11/24,3207.86
2015/11/23,2496.92
2015/11/22,4318.40
2015/11/22,24.23
2015/11/21,2318.64
2015/11/20,3734.48
2015/11/20,2902.11
2015/11/17,4714.59
2015/11/17,2481.86
2015/11/16,2966.42
2015/11/15,58.79
2015/11/15,4268.91
2015/11/14,780.12
2015/11/14,3388.18
2015/11/14,2499.94
2015/11/13,193.91
2015/11/12,3360.26
2015/11/11,2661.61
2015/11/09,61.70
2015/11/08,3237.78
2015/11/07,2805.60
2015/11/06,3286.30
2015/11/05,4628.74
2015/11/05,3367.34
2015/11/05,2440.88
2015/11/04,4508.90
2015/11/01,4618.19
2015/11/01,1194.03
2015/10/30,4783.51
2015/10/30,300.71
2015/10/30,2674.64
2015/10/29,401.92
2015/10/29,1215.61
2015/10/28,1935.16
2015/10/28,1751.02
2015/10/26,712.89
2015/10/26,642.14
2015/10/26,4317.77
2015/10/26,2615.05
2015/10/23,2674.58
2015/10/20,3422.95
2015/10/20,1974.72
2015/10/19,4792.69
2015/10/19,3727.67
2015/10/19,3104.96
2015/10/19,1400.54
2015/10/19,1276.02
2015/10/18,73.07
2015/10/18,2273.90
2015/10/18,1391.49
2015/10/17,4279.17
2015/10/17,196.20
2015/10/16,53.53
2015/10/16,3535.32
2015/10/15,878.95
2015/10/15,3611.39
2015/10/15,2592.48
2015/10/14,4651.85
2015/10/13,599.98
2015/10/13,3158.75
2015/10/12,4705.97
2015/10/12,4619.03
2015/10/12,2416.31
2015/10/11,3727.93
2015/10/11,3015.15
2015/10/10,4677.29
2015/10/10,3429.54
2015/10/09,4990.43
2015/10/09,2626.58
2015/10/06,420.18
2015/10/06,1605.01
2015/10/05,2858.34
2015/10/05,1576.62
2015/10/04,4791.30
2015/10/04,3662.32
2015/10/04,3305.61
2015/10/03,337.17
